Internalname,Serial,EngGamename,ChiGamename
SHINJAJA,AGB-BNJJ-JPN,Jajamaru Jr. Denshouki - Jaleco Memorial (J),茶茶丸Jr.传承记 Jajamaru Jr. Denshouki – Jalecolle mo Arisourou(JP)(Pacific Century)
MARIOVSDK,AGB-BM5J-JPN,Mario Vs. Donkey Kong (J),马里奥VS大金刚 Mario vs. Donkey Kong(JP)(Nintendo)
ZEROMISSIONJ,AGB-BMXJ-JPN,Metroid - Zero Mission (J),银河战士2-零点任务 Metroid – Zero Mission(JP)(Nintendo)
INFILTRATOR,AGB-BMHJ-JPN,Medal of Honor - Infiltrator (J),荣誉勋章-渗透者 Medal of Honor – Infiltrator(JP)(Electronic Arts)
SABREWULFTHQ,AGB-AWUE-USA,Sabre Wulf (U),剑齿虎 Sabre Wulf(US)(THQ)
SHININGFORCE,AGB-AF5E-USA,Shining Force - Resurrection of the Dark Dragon (U),光明力量-暗黑龙的复活 Shining Force – Resurrection of the Dark Dragon(US)(Atlus)
POCKETRESORT,AGB-BM4J-JPN,Mickey no Pocket Resort (J),米老鼠-口袋旅游胜地 Mickey no Pocket Resort(JP)(Tomy)
WARIOLANDE,AGB-AWAC-CHN,Wario Land Advance (C),小神游-瓦力欧寻宝记 Waliou Xunbao Ji(CN)(iQue)
WWCC5,AGB-AWWE-USA,Woody Woodpecker In Crazy Castle 5 (U),啄木鸟伍迪勇闯疯狂城堡 5 Woody Woodpecker in Crazy Castle 5(US)(Kemco)
XS MOTO,AGB-BXME-USA,XS Moto (U),XS摩托车 XS Moto(US)(XS Games)
THUNDERALLEY,AGB-BTHE-USA,Thunder Alley (U),雷霆越野车 Thunder Alley(US)(XS Games)
SONICADVANC3,AGB-B3SJ-JPN,Sonic Advance 3 (J),索尼克3 Sonic Advance 3(JP)(M6)(Sega)
ASTERIX,AGB-BLXP-EUR,Asterix and Obelix XXL (E),幻想新国度 Asterix & Obelix XXL(EU)(M6)(Atari)
SHREK 2,AGB-BSEX-EUU,Shrek 2 (E),怪物史瑞克2 Shrek 2(EU)(M5)(Activision)
SECRETAGENTB,AGB-AAHP-EUR,Barbie Secret Agent (E),芭比秘密间谍 Secret Agent Barbie – Royal Jewels Mission(EU)(M5)(Vivendi)
RAREDKC2,AGB-B2DP-EUR,Donkey Kong Country 2 (E),超级大金刚2 Donkey Kong Country 2(EU)(M5)(Nintendo)
SONIC ADVANC,AGB-B3SP-EUR,Sonic Advance 3 (E),索尼克3 Sonic Advance 3(EU)(M6)(Sega)
SPYRO ORANGE,AGB-BSTP-EUR,Spyro Fusion (E),宝贝龙-阴谋的本质与橙色古惑狼 Spyro Fusion(EU)(M5)(Vivendi)
CRASH PURPLE,AGB-BD4P-EUR,Crash Bandicoot Fusion (E),古惑狼-暴跳的罗彼德与紫色宝贝龙 Crash Bandicoot Fusion(EU)(M5)(Vivendi)
MARIOGOLFGBA,AGB-BMGE-USA,Mario Golf - Advance Tour (U),马里奥高尔夫巡回赛 Mario Golf – Advance Tour(US)(Nintendo)
AGB-TORNEKO3,AGB-BD3J-JPN,Dragon Quest Characters - Toruneko no Daibouken 3 Advance - Fushigi no Dungeon (J),特鲁尼克大冒险3-不思议的迷宫 Dragon Quest Characters – Torneco no Daibouken 3 Advance – Fushigi no Dungeon(JP)(Square Enix)
HARRY POTTER,AGB-BHTJ-JPN,Harry Potter to Azkaban no Shuujin (J),哈利波特与阿兹卡班的逃犯 Harry Potter to Azkaban no Shuujin(JP)(Electronic Arts)
CHINESE1&2,AGB-BSAJ-JPN,Super Chinese 1 and 2 Advance (J),超级中国人1+2 uper Chinese Advance 1 & 2(JP)(Culture Brain)
DRAGONBLSSWU,AGB-AZJE-USA,DragonBall Z - Supersonic Warriors (U),龙珠Z-舞空斗剧 Dragon Ball Z – Supersonic Warriors(US)(Atari)
POKEGBAVID02,AGB-MPBE-USA,Pokemon Volume 2 - Gameboy Advance Video (U),GBA电影-口袋妖怪第2卷 Game Boy Advance Video – Pokemon – Volume 2(US)(Nintendo)
POKEGBAVID01,AGB-MPAE-USA,Pokemon Volume 1 - Gameboy Advance Video (U),GBA电影-口袋妖怪第1卷 Game Boy Advance Video – Pokemon – Volume 1(US)(Nintendo)
BBBALL,AGB-A8LJ-JPN,BB Ball (J),BB球 BB Booru(JP)(Micott & Basara Inc.)
OSHAREWANKO,AGB-A5SJ-JPN,Oshare Wanko (J),俏皮宠物 Oshare Wanko(JP)(MTO)
SPIDER-MAN2,AGB-BSPE-USA,Spider-Man 2 (U),蜘蛛侠2 Spider-Man 2(US)(Activision)
MEGAMANBN4RS,AGB-B4WE-USA,MegaMan Battle Network 4 Red Sun (U),洛克人战斗网络EXE 4-红太阳 Megaman Battle Network 4 – Red Sun(US)(Capcom)
MEGAMANBN4BM,AGB-B4BE-USA,MegaMan Battle Network 4 Blue Moon (U),洛克人战斗网络EXE 4-蓝月亮 Megaman Battle Network 4 – Blue Moon(US)(Capcom)
YUGIOH DM8,AGB-AY8E-USA,Yu-Gi-Oh! Reshef of Destruction (U),游戏王8-毁灭的大邪神 Yu-Gi-Oh! Reshef of Destruction(US)(Konami)
CARTOONNET01,AGB-MCTE-USA,Cartoon Network Collection Volume 1 - Gameboy Advance Video (U),GBA电影-卡通频道珍藏电影第1卷 Game Boy Advance Video – Cartoon Network Collection – Volume 1(US)(Majesco Sales)
KIDSNEXTDO01,AGB-MKDE-USA,Codename Kids Next Door Volume 1 - Gameboy Advance Video (U),GBA电影-小孩大联邦第1卷 Game Boy Advance Video – Codename Kids Next Door – Volume 1(US)(Majesco Sales)
RAREDKC2,AGB-B2DJ-JPN,Super Donkey Kong 2 (J),超级大金刚2 Super Donkey Kong 2(JP)(Nintendo)
AGB KIRBY AM,AGB-B8KP-EUR,Kirby And The Amazing Mirror (E),星之卡比-镜之谜宫 Kirby & The Amazing Mirror(EU)(M5)(Nintendo)
NICKTOONS 01,AGB-MNCE-USA,Nicktoons Collection Volume 1 - Gameboy Advance Video (U),GBA电影-尼克卡通珍藏电影第1卷 Game Boy Advance Video – Nicktoon's Collection – Volume 1(US)(Majesco Sales)
AROUND THE W,AGB-B8DE-USA,Around The World In 80 Days (U),环游世界80天 Around the World in 80 Days(US)(Hip Games)
KIMPOSSIBLE2,AGB-BKME-USA,Disney's Kim Possible 2 - Drakken's Demise (U),迪斯尼之麻辣女孩2 Kim Possible 2 – Drakken's Demise(US)(M2)(Ubi Soft)
JIMMYNEUTR01,AGB-MJME-USA,The Adventures of Jimmy Neutron Volume 1 - Gameboy Advance Video (U),GBA电影-天才小子吉米大冒险第1卷 Game Boy Advance Video – The Adventures of Jimmy Neutron – Boy Genius – Volume 1(US)(Majesco Sales)
SPIDER-MAN2,AGB-BSPX-EUU,Spider-Man 2 (E),蜘蛛侠2 Spider-Man 2(EU)(M4)(Activision)
MARIOGOLFGBA,AGB-BMGU-AUS,Mario Golf - Advance Tour (A),马里奥高尔夫巡回赛 Mario Golf – Advance Tour(AU)(Nintendo)
SITTING DUCK,AGB-BSDE-USA,Sitting Ducks (U),坐坐鸭 Sitting Ducks(US)(M6)(LSP)
CT SPECIAL F,AGB-A9CE-USA,CT Special Forces 2 - Back in The Trenches (U),CT特种部队2-重返战壕 CT Special Forces 2 – Back in the Trenches(US)(M6)(LSP)
ASTROBOY,AGB-BTAE-USA,Astro Boy - Omega Factor (U),铁臂阿童木-阿童木心之秘密 Astro Boy – Omega Factor(US)(M6)(Sega)
HAMSPORTS,AGB-B85A-XXX,Tottoko Hamutaro Hamuhamu Sports (J),哈姆太郎运动会 Hamtaro – Ham-Ham Games(JU)(M2)(Nintendo)
ZORORIOHIME,AGB-BKOJ-JPN,Kaiketsu Zorori to Mahou no Yuuenchi (J),恶作剧王大闹魔法游乐园 Kaiketsu Zorori to Mahou no Yuuenchi – Ohimesama wo Sukue!(JP)(Bandai)
DANGEROUS-G2,AGB-BZ2J-JPN,Zettai Zetsumei Den Chara Suji-San (J),天才爷爷-痔疮先生的痛 Zettaizetsumei Dangerous Jiisan – Tsuu Ikari no Oshioki Blues(JP)(Kids Station)
DC2,AGB-BDKJ-JPN,Digi Communication 2 in 1 Datou! Black Gemagema Dan (J),便利商店2-打倒熊猫少女团 Digi Communication 2 – Datou! Black Gemagema Dan(JP)(Broccoli)
FIREEMBLEMX,AGB-AE7X-EUU,Fire Emblem (E),火炎之纹章-烈火之剑 Fire Emblem(EU)(M3)(Nintendo)
FIREEMBLEMY,AGB-AE7Y-EUU,Fire Emblem (E),火炎之纹章-烈火之剑 Fire Emblem(EU)(M3)(Nintendo)
MIRUMODEPON4,AGB-BWFJ-JPN,Wagamama Fairy Miruro de Pon! Yume no Kakera (J),任性妖精米诺-梦的碎片 Wagamama Fairy Mirumo de Pon! – Yume no Kakera(JP)(Konami)
HAMSPORTS,AGB-B85P-EUR,Hamtaro - Ham-Ham Games (E),哈姆太郎运动会 Hamtaro – Ham-Ham Games(EU)(M5)(Nintendo)
TMNT      01,AGB-MTME-USA,Teenage Mutant Ninja Turtles Volume 1 - Gameboy Advance Video (U),GBA电影-忍者神龟第1卷 Game Boy Advance Video – Teenage Mutant Ninja Turtles – Volume 1(US)(Majesco Sales)
DOOM II,AGB-A9DP-EUR,Doom II (E),DOOM-毁灭战士2 Doom II(EU)(Activision)
GASHBOOKMARK,AGB-BKBJ-JPN,Konjiki no Gashbell!! Makai no Bookmark (J),金色卡修-魔界的书签 Konjiki no Gashbell!! – Makai no Bookmark(JP)(Banpresto)
M.SUMMONER,AGB-A3NJ-JPN,Monster Summoner (J),怪兽召唤士 Monster Summoner(JP)(Ertain)
YUGIOH    01,AGB-MYGE-USA,Yu-Gi-Oh! - Yugi Vs Joey Volume 1 - Gameboy Advance Video (U),GBA电影-游戏王第1卷 Game Boy Advance Video – Yu-Gi-Oh! Yugi vs. Joey – Volume 1(US)(Majesco Sales)
NARUTORPG,AGB-BNRJ-JPN,Naruto RPG - Uketsugareshi Hi no Ishi (J),火影忍者RPG Naruto RPG – Uketsugareshi Hi no Ishi(JP)(Tomy)
CATWOMAN    ,AGB-BCWE-USA,Catwoman (U),猫女 Catwoman(UE)(M7)(Electronic Arts)
ZOKTAI,AGB-U32J-JPN,Zoku Bokura no Taiyou - Taiyou Shounen Django (J),我们的太阳2-太阳少年加戈 Zoku Bokura no Taiyou – Taiyou Shounen Django(JP)(Konami)
DUELMASTER25,AGB-BD5J-JPN,Duel Masters 2 - Kirifuda Shoubu Version (J),卡片决斗高手2-切札胜舞版 Duel Masters 2 – Kirifuda Shoubu Version(JP)(Takara)
HAGANESONATA,AGB-BH2J-JPN,Hagane no Renkinjutsushi - Omoide no Soumeikyoku (J),钢之炼金术士-回忆之奏鸣曲 Hagane no Renkinjutsushi – Omoide no Soumeikyoku(JP)(Bandai)
CROKET!4,AGB-BK4J-JPN,Croket! 4 - Bank no Mori no Mamorigami (J),馅饼4-森林守护神 Croket! 4 – Bank no Mori no Mamorigami(JP)(Konami)
AMDRIVERHERO,AGB-BGIJ-JPN,Get Ride AMDriver - Senkou no Hero Tanjou (J),重装骑士-闪光英雄的诞生! Get Ride! AMDriver – Senkou no Hero Tanjou!(JP)(Konami)
SUPER MARIOA,AGB-AMAC-CHN,Chaoji Maliou (C),小神游-超级马里欧2 Chaoji Maliou 2(CN)(iQue)
DBZLGCYGOKU2,AGB-ALFJ-JPN,Dragon Ball Z - The Legacy of Goku II International (J),龙珠Z-悟空的遗产2 Dragon Ball Z – The Legacy of Goku II International(JP)(Banpresto)
PUYO FEVER,AGB-BPFJ-JPN,Puyo Puyo Fever (J),魔法气泡大会战2 Puyo Puyo Fever(JP)(M6)(Sega)
KAIDAN,AGB-BGHJ-JPN,Gakkou no Kaidan - Hyakuyobako no Fuuin (J),学校之怪谈-百妖箱的封印 Gakkou no Kaidan – Hyakuyobako no Fuuin(JP)(TDK)
ZERO ONE SP,AGB-BZOJ-JPN,Zero One SP (J),对还是错SP Zero One SP(JP)(Fuuki)
PAWAPOKE1&2,AGB-B8PJ-JPN,Power Pro Kun Pocket 1&2 (J),实况Q版口袋棒球1+2 Power Pro Kun Pocket 1+2(JP)(Konami)
LEGENDZSHIMA,AGB-BLJJ-JPN,Legions - Yomigaeru Shiren no Shima (J),军团-苏醒的试练之岛 Rejienzu – Yomigaeru Shiren no Shima(JP)(Bandai)
FF1&2ADVANCE,AGB-BFFJ-JPN,Final Fantasy I & II Advance (J),最终幻想1 & 2 Final Fantasy I & II Advance(JP)(Square Enix)
DRAGONTALES,AGB-BD9E-USA,Dragon Tales - Dragon Adventures (U),龙之传说-巨龙冒险 Dragon Tales – Dragon Adventures(US)(Gotham Games)
TAK&JUJUMULT,AGB-BJUX-EUU,Tak and the Power of JuJu (E),塔克和符咒的神力 Tak and the Power of Juju(EU)(M2)(THQ)
HANADON,AGB-BDAJ-JPN,Don-Chan Puzzle - Hanabi de Don (J),花火大会 Donchan Puzzle Hanabi de Dohn Advance(JP)(Aruze Corp.)
HYAKEI,AGB-BHAJ-JPN,Hanabi Hyakkei Advance (J),花火百景 Hanabi Hyakkei Advance(JP)(Aruze Corp.)
SDGFORCE,AGB-BG4J-JPN,SD Gundam Force (J),SD高达力量 SD Gundam Force(JP)(Bandai)
SHININGFORCE,AGB-AF5J-JPN,Shining Force - Kuroki Ryuu no Fukkatsu (J),光明力量-暗黑龙的复活 Shining Force – Kuroki Ryuu no Fukkatsu(JP)(Sega)
ROCKEXE4.5RO,AGB-BR4J-JPN,Rockman EXE 4.5 Real Operation (J),洛克人战斗网络EXE 4.5-真实演习 Rockman EXE 4.5 – Real Operation(JP)(Capcom)
CHOBIGURUMI2,AGB-BDCJ-JPN,Doubutsu Shima no Chubi Gurumi 2 (J),动物岛的乔比们2-球球物语 Doubutsujima no Chobi Gurumi 2 – Tamachan Monogatari(JP)(Smilesoft)
BB-DAMANFIRE,AGB-BDXJ-JPN,B-Densetsu! Battle B-Daman Moero! B-Kon (J),B-传说!战斗比达人 B-Legends! Battle B-Daman – Moero! B-Damashii!!(JP)(Atlus)
HIMAWARI,AGB-BNBJ-JPN,Himawari Doubutsu Byouin (J),向日葵动物医院-宠物医生 Himawari Doubutsu Byouin – Pet no Oishasan Ikusei Game(JP)(TDK)
ULTRAGUARDMA,AGB-BUTJ-JPN,Ultra Keibitai - Monster Attack (J),超级警备队-怪兽袭击 Ultra Keibitai – Monster Attack(JP)(Smilesoft)
STAFY 3,AGB-B3DJ-JPN,Densetsu no Stafi 3 (J),传说的斯塔菲3 Densetsu no Stafy 3(JP)(Nintendo)
NEEDFORSPEED,AGB-AZFE-USA,Need For Speed - Porsche Unleashed (U),极品飞车-宝石捷之旅 Need for Speed – Porsche Unleashed(US)(Destination Software)
CNBLOCKPARTY,AGB-AC9E-USA,Cartoon Network - Block Party (U),卡通频道-疯狂派对 Cartoon Network Block Party(US)(Majesco Sales)
GUNDAMSEED-B,AGB-BGNE-USA,Gundam Seed - Battle Assault (U),高达Seed-格斗篇 Mobile Suit Gundam Seed – Battle Assault(US)(Bandai)
MADDEN 2005,AGB-BMFE-USA,Madden NFL 2005 (U),NFL橄榄球2005 Madden NFL 2005(US)(Electronic Arts)
THUNDERBIRDS,AGB-BTBE-USA,Thunderbirds (U),雷鸟 Thunderbirds(UE)(Vivendi)
SUPER MARIO2,AGB-FM2J-JPN,Famicom Mini - Vol 21 - Super Mario Bros. 2 (J),任天堂FC珍藏游戏系列第21辑-马里奥兄弟2 Famicom Mini Vol. 21 – Super Mario Bros. 2(JP)(Nintendo)
MURASAME,AGB-FNMJ-JPN,Famicom Mini - Vol 22 - Nazo no Murasame (J),任天堂FC珍藏游戏系列第22辑-迷之村雨城 Famicom Mini Vol. 22 – Nazo no Murasame Jou(JP)(Nintendo)
FMS METROID,AGB-FMRJ-JPN,Famicom Mini - Vol 23 - Metroid (J),任天堂FC珍藏游戏系列第23辑-银河战士 Famicom Mini Vol. 23 – Metroid(JP)(Nintendo)
PARTHENA,AGB-FPTJ-JPN,Famicom Mini - Vol 24 - Hikari Shinwa - Palutena no Kagame (J),任天堂FC珍藏游戏系列第24辑-光神话之镜 Famicom Mini Vol. 24 – Hikari Shinwa – Palthena no Kagami(JP)(Nintendo)
LINK,AGB-FLBJ-JPN,Famicom Mini - Vol 25 - Link no Bouken (J),任天堂FC珍藏游戏系列第25辑-赛尔达传说2-林克大冒险 Famicom Mini Vol. 25 – The Legend of Zelda 2 – Link no Bouken(JP)(Nintendo)
ONIGASHIMA,AGB-FFMJ-JPN,Famicom Mini - Vol 26 - Mukashi Hanashi - Shin Onigashima (J),任天堂FC珍藏游戏系列第26辑-新鬼岛 Famicom Mini Vol. 26 – Famicom Mukashi Banashi – Shin Onigashima – Zen Kou Hen(JP)(Nintendo)
TANTEI CLUB1,AGB-FTKJ-JPN,Famicom Mini - Vol 27 - Famicom Tantei Club - Kieta Koukeisha (J),任天堂FC珍藏游戏系列第27辑-侦探俱乐部1 Famicom Mini Vol. 27 – Famicom Tantei Club – Kieta Koukeisha – Zen Kou Hen(JP)(Nintendo)
TANTEI CLUB2,AGB-FTUJ-JPN,Famicom Mini - Vol 28 - Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zengouhen (J),任天堂FC珍藏游戏系列第28辑-侦探俱乐部2 Famicom Mini Vol. 28 – Famicom Tantei Club Part II – Ushiro ni Tatsu Shoujo – Zen Kou Hen(JP)(Nintendo)
DRACULA 1,AGB-FADJ-JPN,Famicom Mini - Vol 29 - Akumajo Dracula (J),任天堂FC珍藏游戏系列第29辑-恶魔城 Famicom Mini Vol. 29 – Akumajou Dracule(JP)(Nintendo)
SD GACHAPON1,AGB-FSDJ-JPN,Famicom Mini - Vol 30 - SD Gundam World Gachapon Senshi - Scramble Wars (J),任天堂FC珍藏游戏系列第30辑-SD高达战士 Famicom Mini Vol. 30 – SD Gundam World – Gachapon Senshi Scramble Wars(JP)(Nintendo)
SBSPMOVIE,AGB-BSNE-USA,The SpongeBob SquarePants Movie (U),GBA电影-超级海绵电影版 SpongeBob SquarePants – The Movie(US)(THQ)
TOM CLANCY'S,AGB-BSLE-USA,Tom Clancy's Splinter Cell - Pandora Tommorow (U),分裂细胞：明日潘多拉 Tom Clancy's Splinter Cell – Pandora Tomorrow(US)(M3)(Ubi Soft)
PITFALL,AGB-BPHE-USA,Pitfall - The Lost Expedition (U),玛亚历险记-迷失的探险队 Pitfall – The Lost Expedition(US)(Activision)
DRAGONBLSSWE,AGB-AZJP-EUR,DragonBall Z - Supersonic Warriors (E),龙珠Z-舞空斗剧 Dragon Ball Z – Supersonic Warriors(EU)(M5)(Bandai)
CRAFTSWORD2,AGB-BSKJ-JPN,Summon Night - Craft Sword Monogatari 2 (J),召唤之夜-铸剑物语2 Summon Night – Craft Sword Monogatari 2(JP)(Banpresto)
MARIO BALL,AGB-BMVJ-JPN,Super Mario Ball (J),马里奥弹珠台 Super Mario Ball(JP)(Nintendo)
SUPER MARIOD,AGB-AX4P-EUR,Super Mario Advance 4 - Super Mario Bros 3 (E),超级马里奥4 Super Mario Advance 4 – Super Mario Bros. 3(EU)(M5)(Nintendo)
NITRO KART,AGB-BCNJ-JPN,Crash Bandicoot Bakusou! Nitro Kart (J),古惑狼赛车 Crash Bandicoot – Bakusou! Nitro Cart(JP)(Konami)
DIGIMONRACIN,AGB-BDGE-USA,Digimon Racing (U),数码暴龙赛车 Digimon Racing(US)(M5)(Bandai)
RAPALA PRO F,AGB-BRFE-USA,Rapala Pro Fishing (U),诺马职业钓鱼 Rapala Pro Fishing(UE)(Activision)
CRUSHED BASE,AGB-BCBE-USA,Crushed Baseball (U),热血棒球 Crushed Baseball(US)(Summit Soft)
POKEMON FIRE,AGB-BPRE-USA,Pokemon Fire Red (U),口袋妖怪-火红 Pokemon – Fire Red Version(US)(Nintendo)
POKEMON LEAF,AGB-BPGE-USA,Pokemon Leaf Green (U),口袋妖怪-绿叶 Pokemon – Leaf Green Version(US)(Nintendo)
PRDINOTHUNDE,AGB-BPOE-USA,Power Rangers Dino Thunder (U),鸟人战队-巨龙雷鸣 Power Rangers – Dino Thunder(US)(THQ)
MEGAMANZERO3,AGB-BZ3P-EUR,MegaMan Zero 3 (E),洛克人ZERO3 Megaman Zero 3(EU)(Capcom)
TETRISWORLDS,AGB-ATWY-EUU,Tetris Worlds (E),俄罗斯方块 Tetris Worlds(EU)(M3)(THQ)
FINDINGNEMO2,AGB-BZIE-USA,Finding Nemo - The Continuing Adventures (U),海底总动员-连续冒险 Finding Nemo – The Continuing Adventures(UE)(THQ)
YUGIOH DM8,AGB-AY8P-EUR,Yu-Gi-Oh! Reshef of Destruction (E),游戏王-毁灭的大邪神 Yu-Gi-Oh! Reshef of Destruction(EU)(M5)(Konami)
BO_BOBO4_GBA,AGB-BOSJ-JPN,Boboboubo Boubobo - Bakuten Hajike Taisen (J),爆裂鼻毛真拳-热斗爆裂大战 Boboboubo Boubobo – Bakutou Hajike Taisen(JP)(Hudson)
DRGBALLZBUKO,AGB-AZJK-KOR,Dragon Ball Z - Supersonic Warriors (K),龙珠Z-舞空斗剧 Dragon Ball Z – Moogongtoogeuk(KS)(Dai Won)
BARBIE P&P,AGB-BAUE-USA,Barbie as the Princess and the Pauper (U),芭比-公主与乞丐 Barbie – The Princess and the Pauper(US)(Vivendi)
DBZBUUSFURY,AGB-BG3E-USA,Dragon Ball Z - Buu's Fury (U),龙珠Z-布欧的愤怒 Dragon Ball Z – Buu's Fury(US)(Atari)
ZOIDS LEGACY,AGB-AZ2E-USA,Zoids - Legacy (U),机械兽新世纪 Zoids Legacy(US)(Atari)
DISNEY HOTR,AGB-BHMP-EUR,Disney's Home on the Range (E),H牧场是我家 Home on the Range(EU)(M4)(Ubi Soft)
POKEMON EMER,AGB-BPEJ-JPN,Pokemon Emerald (J),口袋妖怪-绿宝石 Pocket Monster – Emerald(JP)(Nintendo)
AV 7111 ,AGB-AGBJ-JPN,Gameboy Advance SP AV (C),GBASP视频接收器 ame Boy Advance SP AV Adaptor(JP)(Blaze)
DRAGONBALL01,AGB-MDBE-USA,Dragon Ball GT Volume 1 - Gameboy Advance Video (U),GBA电影-七龙珠GT第一卷 Game Boy Advance Video – Dragon Ball GT – Volume 1(US)(Majesco Sales)
JIMMYNEUAOTT,AGB-BJYE-USA,Jimmy Neutron Boy Genius - Attack of the Twonkies (U),"天才吉米 Adventures of Jimmy Neutron, The – Boy Genius – Attack of the Twonkies(UE)(THQ)"
ADVANCE GH,AGB-BGCE-USA,Advance Guardian Heroes (U),守护英雄A Advance Guardian Heroes(US)(Ubi Soft)
MARIOGOLFGBA,AGB-BMGD-DEU,Mario Golf - Advance Tour (G),马里奥高尔夫巡回赛 Mario Golf – Advance Tour(DE)(Nintendo)
MARIOGOLFGBA,AGB-BMGI-ITA,Mario Golf - Advance Tour (I),马里奥高尔夫巡回赛 Mario Golf – Advance Tour(IT)(Nintendo)
MARIOGOLFGBA,AGB-BMGF-FRA,Mario Golf - Advance Tour (F),马里奥高尔夫巡回赛 Mario Golf – Advance Tour(FR)(Nintendo)
SPIDER-MAN 2,AGB-BSPI-ITA,Spider-Man 2 (I),蜘蛛侠2 Spider-Man 2(IT)(Activision)
STAR WARS TR,AGB-BCKP-EUR,Star Wars Trilogy - Apprentice of the Force (E),星球大战三部曲-学徒的原力 Star Wars Trilogy – Apprentice of the Force(EU)(M6)(Ubi Soft)
STAR WARS TR,AGB-BCKE-USA,Star Wars Trilogy - Apprentice of the Force (U),星球大战三部曲-学徒的原力 Star Wars Trilogy – Apprentice of the Force(US)(M3)(Ubi Soft)
