Internalname,Serial,EngGamename,ChiGamename
SONIC X   01,AGB-MSHE-USA,Sonic X Volume 1 - Gameboy Advance Video (U),GBA电影-音速小子X第1卷 Game Boy Advance Video – Sonic X – Volume 1(US)(Majesco Sales)
F-ZERO2,AGB-BFZP-EUR,F-Zero GP Legend (E),零式赛车-GP传说 F-Zero – GP Legend(EU)(M5)(Nintendo)
CRASH PURPLE,AGB-BD4E-USA,Crash Bandicoot - Purple Ripto's Rampage (U),古惑狼-暴跳的罗彼德与紫色宝贝龙 Crash Bandicoot Purple – Ripto's Rampage(US)(Vivendi)
SPYRO ORANGE,AGB-BSTE-USA,Spyro Orange - The Cortex Conspiracy (U),宝贝龙-阴谋的本质与橙色古惑狼 Spyro Orange – The Cortex Conspiracy(US)(Vivendi)
DM SEMPAI,AGB-AA9E-USA,Duel Masters - Sempai Legends (U),卡片决斗高手-永恒的传说 Duel Masters – Sempai Legends(US)(Atari)
ZELDA 1,AGB-FZLE-USA,Classic Nes - The Legend of Zelda (U),经典任天堂-塞尔达传说 Classic NES Series – The Legend of Zelda(UE)(Nintendo)
SONIC BATTLE,AGB-BSBP-EUR,Sonic Battle (E),索尼克战斗 Sonic Battle(EU)(M6)(Sega)
SUPER MARIO,AGB-FSME-USA,Classic Nes - Super Mario Bros. (U),经典任天堂-超级马里奥兄弟 Classic NES Series – Super Mario Bros.(UE)(Nintendo)
STRAWBERRY01,AGB-MSBE-USA,Strawberry Shortcake Volume 1 - Gameboy Advance Video (U),GBA电影-蛋糕上的草莓第1卷 Game Boy Advance Video – Strawberry Shortcake – Volume 1(US)(Majesco Sales)
BOMBER MAN,AGB-FBME-USA,Classic Nes - Bomberman (U),经典任天堂-炸弹人 Classic NES Series – Bomberman(UE)(Nintendo)
EXCITEBIKE,AGB-FEBE-USA,Classic Nes - Excite Bike (U),经典任天堂-越野机车 Classic NES Series – Excite Bike(UE)(Nintendo)
XEVIOUS,AGB-FXVE-USA,Classic Nes - Xevious (U),经典任天堂-铁板阵 Classic NES Series – Xevious(UE)(Nintendo)
PAC-MAN,AGB-FP7E-USA,Classic Nes - Pacman (U),经典任天堂-大食客 Classic NES Series – Pac-Man(UE)(Nintendo)
ICE CLIMBER,AGB-FICE-USA,Classic Nes - Ice Climber (U),经典任天堂-雪人兄弟 Classic NES Series – Ice Climber(UE)(Nintendo)
DONKEY KONG,AGB-FDKE-USA,Classic Nes - Donkey Kong (U),经典任天堂-大金刚 Classic NES Series – Donkey Kong(UE)(Nintendo)
FAIRLYODD 01,AGB-MFOE-USA,The Fairly OddParents Volume 1 - Gameboy Advance Video (U),"GBA电影-反斗家族第1卷 Game Boy Advance Video – Fairly Odd Parents!, The – Volume 1(US)(Majesco Sales)"
UCG,AGB-BUCE-USA,Ultimate Card Games (U),终极扑克牌游戏 Ultimate Card Games(UE)(Telegames)
ALLGROWNUP01,AGB-MGUE-USA,All Grown Up! Volume 1 - Gameboy Advance Video (U),GBA电影-我们都长大了-成长第1卷 Game Boy Advance Video – All Grown Up! – Volume 1(US)(Majesco Sales)
